"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7620","Тест при добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента","tests","Wed Jan 22 15:57:43 MSK 2025","passed","Wed Jan 22 15:57:50 MSK 2025","TestDesignerFunctional","Проверка основного функционала (Конструктор)","",""
"","8337","Тест ввод почты и клик по кнопке «Восстановить»","tests","Wed Jan 22 16:00:04 MSK 2025","passed","Wed Jan 22 16:00:13 MSK 2025","TestForgotPassword","Восстановление пароля","",""
"","4830","Тест если кликнуть на заказ, откроется всплывающее окно с деталями","tests","Wed Jan 22 16:01:56 MSK 2025","passed","Wed Jan 22 16:02:01 MSK 2025","TestOrderFeed","Проверка основного функционала (Конструктор)","",""
"","7789","Тест переход по клику на «Личный кабинет»","tests","Wed Jan 22 16:05:06 MSK 2025","passed","Wed Jan 22 16:05:14 MSK 2025","TestProfilePage","Личный кабинет","",""
"","9558","Тест залогиненный пользователь может оформить заказ","tests","Wed Jan 22 15:58:57 MSK 2025","passed","Wed Jan 22 15:59:07 MSK 2025","TestDesignerFunctional","Проверка основного функционала (Конструктор)","",""
"","19167","Тест при создании нового заказа счётчик Выполнено за сегодня увеличивается","tests","Wed Jan 22 16:04:16 MSK 2025","passed","Wed Jan 22 16:04:35 MSK 2025","TestOrderFeed","Проверка основного функционала (Конструктор)","",""
"","8039","Тест клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","tests","Wed Jan 22 16:00:27 MSK 2025","passed","Wed Jan 22 16:00:35 MSK 2025","TestForgotPassword","Восстановление пароля","",""
"","7748","Тест клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","tests","Wed Jan 22 16:00:15 MSK 2025","passed","Wed Jan 22 16:00:22 MSK 2025","TestForgotPassword","Восстановление пароля","",""
"","6948","Тест заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","Wed Jan 22 16:02:08 MSK 2025","passed","Wed Jan 22 16:02:15 MSK 2025","TestOrderFeed","Проверка основного функционала (Конструктор)","",""
"","6964","Тест заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","tests","Wed Jan 22 16:02:24 MSK 2025","passed","Wed Jan 22 16:02:31 MSK 2025","TestOrderFeed","Проверка основного функционала (Конструктор)","",""
"","6686","Тест выход из аккаунта","tests","Wed Jan 22 16:06:05 MSK 2025","passed","Wed Jan 22 16:06:12 MSK 2025","TestProfilePage","Личный кабинет","",""
"","8951","Тест если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","Wed Jan 22 15:56:27 MSK 2025","passed","Wed Jan 22 15:56:36 MSK 2025","TestDesignerFunctional","Проверка основного функционала (Конструктор)","",""
